# Predicted,Actual,Difference
1.185371430194359164e+03,1.192373657000000094e+03,7.002226805640930252e+00
1.188444885219161733e+03,1.192373657000000094e+03,3.928771780838360428e+00
1.188205381461113802e+03,1.190445678999999927e+03,2.240297538886125039e+00
1.187944020130045601e+03,1.190445678999999927e+03,2.501658869954326292e+00
1.187717439073884634e+03,1.190445678999999927e+03,2.728239926115293201e+00
1.185364293943644725e+03,1.190363524999999981e+03,4.999231056355256442e+00
1.185364293943644725e+03,1.190363524999999981e+03,4.999231056355256442e+00
1.185254201918497984e+03,1.190363524999999981e+03,5.109323081501997876e+00
1.184528125518159641e+03,1.190363524999999981e+03,5.835399481840340741e+00
1.184855071132013791e+03,1.190002075000000104e+03,5.147003867986313708e+00
1.186290279898092422e+03,1.190002075000000104e+03,3.711795101907682692e+00
1.186452444464492601e+03,1.190002075000000104e+03,3.549630535507503737e+00
1.186134864968488273e+03,1.187746947999999975e+03,1.612083031511701847e+00
1.186148999733264873e+03,1.187746947999999975e+03,1.597948266735102152e+00
1.185796228562630176e+03,1.187746947999999975e+03,1.950719437369798470e+00
1.184948279030857520e+03,1.185319457999999941e+03,3.711789691424201010e-01
1.184389725917118540e+03,1.185319457999999941e+03,9.297320828814008564e-01
1.183937448360133203e+03,1.185319457999999941e+03,1.382009639866737416e+00
1.184443125618337945e+03,1.185319457999999941e+03,8.763323816619958961e-01
1.184470294935941865e+03,1.189298827999999958e+03,4.828533064058092350e+00
1.184596391895760689e+03,1.189298827999999958e+03,4.702436104239268388e+00
1.184784500057952300e+03,1.189298827999999958e+03,4.514327942047657416e+00
1.184752271420240277e+03,1.189298827999999958e+03,4.546556579759680972e+00
1.184626262224551738e+03,1.188655884000000015e+03,4.029621775448276821e+00
1.184276021836195923e+03,1.188655884000000015e+03,4.379862163804091324e+00
1.183262158299574821e+03,1.188655884000000015e+03,5.393725700425193281e+00
1.183376232572794606e+03,1.184053222999999889e+03,6.769904272052826855e-01
1.183102188067557108e+03,1.184053222999999889e+03,9.510349324427807005e-01
1.182747320775606113e+03,1.184053222999999889e+03,1.305902224393776123e+00
1.182621644414244884e+03,1.184053222999999889e+03,1.431578585755005406e+00
1.182686451878792695e+03,1.189939697000000024e+03,7.253245121207328339e+00
1.182290299552007809e+03,1.189939697000000024e+03,7.649397447992214438e+00
1.182060946260056198e+03,1.189939697000000024e+03,7.878750739943825465e+00
1.182083780494657049e+03,1.188049438000000009e+03,5.965657505342960576e+00
1.182156774349158468e+03,1.188049438000000009e+03,5.892663650841541312e+00
1.181471164664385242e+03,1.188049438000000009e+03,6.578273335614767348e+00
1.180622721887455555e+03,1.188049438000000009e+03,7.426716112544454518e+00
1.180358712156104730e+03,1.183692870999999968e+03,3.334158843895238533e+00
1.180493512181799360e+03,1.183692870999999968e+03,3.199358818200607857e+00
1.180544853700539079e+03,1.183692870999999968e+03,3.148017299460889262e+00
1.179873533554021378e+03,1.184476562999999942e+03,4.603029445978563672e+00
1.179519174042215809e+03,1.184476562999999942e+03,4.957388957784132799e+00
1.179439890869247165e+03,1.184476562999999942e+03,5.036672130752776866e+00
1.179063878535829417e+03,1.179357788000000028e+03,2.939094641706105904e-01
1.179188355265904647e+03,1.179357788000000028e+03,1.694327340953805106e-01
1.180417477145522525e+03,1.179357788000000028e+03,1.059689145522497711e+00
1.180140902976642337e+03,1.179357788000000028e+03,7.831149766423095571e-01
1.178537668316621421e+03,1.180128052000000025e+03,1.590383683378604474e+00
1.178856140770596994e+03,1.180128052000000025e+03,1.271911229403031030e+00
1.179981204878903327e+03,1.180128052000000025e+03,1.468471210966981744e-01
1.181222781280213894e+03,1.180641356999999971e+03,5.814242802139233390e-01
1.180961611211240097e+03,1.180641356999999971e+03,3.202542112401260965e-01
1.181512721187269563e+03,1.180641356999999971e+03,8.713641872695916391e-01
1.181277067993493347e+03,1.180641356999999971e+03,6.357109934933760087e-01
1.181035618650532115e+03,1.177782103999999890e+03,3.253514650532224550e+00
1.177949677352137542e+03,1.177782103999999890e+03,1.675733521376514545e-01
1.177573940748804262e+03,1.177782103999999890e+03,2.081632511956286180e-01
1.177060383702465970e+03,1.176638672000000042e+03,4.217117024659273739e-01
1.177534476325849937e+03,1.176638672000000042e+03,8.958043258498946670e-01
1.177870968870528486e+03,1.176638672000000042e+03,1.232296870528443833e+00
1.180015192246017932e+03,1.180838379000000032e+03,8.231867539820996171e-01
1.179824994665647637e+03,1.180838379000000032e+03,1.013384334352394944e+00
1.179547137638565573e+03,1.180838379000000032e+03,1.291241361434458668e+00
1.178029487900778122e+03,1.180838379000000032e+03,2.808891099221909826e+00
1.180160288800660283e+03,1.178280150999999933e+03,1.880137800660349967e+00
1.181338359435048005e+03,1.178280150999999933e+03,3.058208435048072715e+00
1.181714309143773335e+03,1.178280150999999933e+03,3.434158143773402116e+00
1.181798592479891113e+03,1.178280150999999933e+03,3.518441479891180279e+00
1.181009954475462791e+03,1.178050414999999930e+03,2.959539475462861446e+00
1.181278165182359544e+03,1.178050414999999930e+03,3.227750182359613973e+00
1.179076290667934245e+03,1.178050414999999930e+03,1.025875667934315061e+00
1.178976456047145803e+03,1.175081787000000077e+03,3.894669047145725926e+00
1.178442386965932883e+03,1.175081787000000077e+03,3.360599965932806299e+00
1.179123514077173240e+03,1.175081787000000077e+03,4.041727077173163707e+00
1.179104250107648113e+03,1.175081787000000077e+03,4.022463107648036384e+00
1.179987923320203208e+03,1.175555908000000045e+03,4.432015320203163355e+00
1.179967207022282537e+03,1.175555908000000045e+03,4.411299022282491933e+00
1.179599982350860500e+03,1.175555908000000045e+03,4.044074350860455525e+00
1.178517212553861327e+03,1.172899535999999898e+03,5.617676553861429056e+00
1.179047604154069859e+03,1.172899535999999898e+03,6.148068154069960656e+00
1.179741150334489930e+03,1.172899535999999898e+03,6.841614334490031979e+00
1.179944805141996994e+03,1.172899535999999898e+03,7.045269141997096085e+00
1.180073461341146185e+03,1.178068481000000020e+03,2.004980341146165301e+00
1.179751959541928727e+03,1.178068481000000020e+03,1.683478541928707273e+00
1.179659159797090751e+03,1.178068481000000020e+03,1.590678797090731678e+00
1.178407287941165578e+03,1.177172974000000067e+03,1.234313941165510187e+00
1.178449550987308157e+03,1.177172974000000067e+03,1.276576987308089883e+00
