# Predicted,Actual,Difference,Average: 3.7538
1189.2053125099,1193.322266,4.1169534901,Maximum: 244.251
1174.4358322968,1167.99292,6.4429122968,R2: 0.9646644
1178.1803578749,1173.658691,4.5216668749,
1181.3829829476,1176.630249,4.7527339476,
1266.4881048662,1276.884033,10.3959281338,
1162.3377602547,1162.977417,0.6396567453,
1179.1839731684,1177.477417,1.7065561684,
1146.2871566927,1147.59668,1.3095233074,
1162.5858121458,1172.017944,9.4321318542,
1165.4051990443,1168.606079,3.2008799557,
1179.1115431474,1178.244019,0.8675241474,
1191.5412975903,1190.751587,0.7897105903,
1169.2534564811,1172.916138,3.6626815189,
1162.842532904,1163.870728,1.028195096,
1156.2118893214,1157.128174,0.9162846786,
1163.7682891664,1169.023315,5.2550258336,
1172.2402442604,1171.696411,0.5438332604,
1150.8783631282,1148.214478,2.6638851282,
1176.6779243165,1176.712891,0.0349666835,
1169.8847507659,1175.561401,5.6766502341,
1175.742430878,1184.430054,8.687623122,
1186.3329147927,1187.537109,1.2041942073,
1176.6791109837,1185.015259,8.3361480164,
1182.9263010457,1182.677734,0.2485670457,
1179.5774341388,1177.759888,1.8175461388,
1152.9036872988,1155.246094,2.3424067012,
1157.8432150633,1159.261597,1.4183819367,
1191.3178172128,1200.437744,9.1199267872,
1193.8425158683,1194.018433,0.1759171317,
1189.3073433215,1188.158813,1.1485303214,
1156.263776853,1156.025024,0.2387528529,
1364.4580142244,1349.143799,15.3142152244,
1163.7319276251,1165.253174,1.521246375,
1155.9971623376,1159.539307,3.5421446624,
1172.7510394722,1170.26355,2.4874894722,
1186.9984147713,1185.511475,1.4869397713,
1157.2021419513,1154.126221,3.0759209513,
1167.4336878557,1167.974487,0.5407991443,
1173.3756305395,1182.69165,9.3160194605,
1177.2656471937,1176.146729,1.1189181937,
1177.896929536,1176.95874,0.938189536,
1171.0580595342,1168.708374,2.3496855342,
1166.4547758588,1161.977661,4.4771148588,
1180.0613585341,1183.667847,3.6064884659,
1175.4921394859,1171.853394,3.6387454858,
1173.2716952584,1176.227539,2.9558437416,
1189.0866291798,1183.41333,5.6732991798,
1181.6880012097,1180.091309,1.5966922097,
1176.1463333174,1175.67627,0.4700633173,
1179.3432725447,1181.050781,1.7075084553,
1352.4369183908,1345.244019,7.1928993908,
1163.4089731133,1167.811646,4.4026728867,
1175.6369813098,1179.209229,3.5722476902,
1155.8733410012,1160.607544,4.7342029988,
1179.436214022,1171.642822,7.793392022,
1165.8401845373,1167.724487,1.8843024627,
1166.7203162016,1169.915527,3.1952107984,
1157.3413960029,1161.412842,4.0714459971,
1178.6507057554,1175.702515,2.9481907554,
1164.9136543442,1166.346069,1.4324146558,
1155.983245107,1163.316528,7.3332828931,
1165.0636467057,1173.191528,8.1278812943,
1169.1871158002,1173.586182,4.3990661998,
1160.3260774547,1163.524536,3.1984585453,
1202.6391721901,1208.993286,6.3541138099,
1171.7573697163,1167.837036,3.9203337162,
1160.8015036532,1159.599243,1.2022606532,
1165.2189003205,1166.895874,1.6769736795,
1180.6651392042,1186.734131,6.0689917958,
1188.3471992227,1183.06897,5.2782292227,
1189.8504794397,1192.369873,2.5193935603,
1171.7187471007,1167.484985,4.2337621007,
1158.526332381,1152.961182,5.565150381,
1177.5147335115,1184.930664,7.4159304885,
1219.9899029391,1220.331055,0.3411520609,
1164.5995398033,1158.693848,5.9056918033,
1161.1505526059,1168.799683,7.6491303941,
1156.3167272902,1159.174927,2.8581997098,
1168.6266217625,1170.554321,1.9276992375,
1357.1951940524,1348.793945,8.4012490524,
1162.5390744344,1165.939819,3.4007445656,
