# Predicted,Actual,Difference
1.186032921715861221e+03,1.182607177999999976e+03,3.425743715861244709e+00
1.175518597230842943e+03,1.175712890999999900e+03,1.942937691569568415e-01
1.183212655233966643e+03,1.189338013000000046e+03,6.125357766033403095e+00
1.173204967056541591e+03,1.179728270999999950e+03,6.523303943458358845e+00
1.163475308361551924e+03,1.162315552000000025e+03,1.159756361551899317e+00
1.176404556148553866e+03,1.168177124000000049e+03,8.227432148553816660e+00
1.173935788305180722e+03,1.170012694999999894e+03,3.923093305180827883e+00
1.371284902216955743e+03,1.371721068999999943e+03,4.361667830442002014e-01
1.161495151303167177e+03,1.162143432999999959e+03,6.482816968327824725e-01
1.167862501231847318e+03,1.168716918999999962e+03,8.544177681526434753e-01
1.171009780017090861e+03,1.180638183999999910e+03,9.628403982909048864e+00
1.169628454458604892e+03,1.174990479000000050e+03,5.362024541395157939e+00
1.166989144574381953e+03,1.168309936999999991e+03,1.320792425618037669e+00
1.162455605502493654e+03,1.165203369000000066e+03,2.747763497506412023e+00
1.167539225582230529e+03,1.168994995000000017e+03,1.455769417769488427e+00
1.172768440975384010e+03,1.176633667000000059e+03,3.865226024616049472e+00
1.163652133272765013e+03,1.172560547000000042e+03,8.908413727235029000e+00
1.168811657358334287e+03,1.164067870999999968e+03,4.743786358334318720e+00
1.167102863775332025e+03,1.160320189999999911e+03,6.782673775332114019e+00
1.179926729317941863e+03,1.168905518000000029e+03,1.102121131794183384e+01
1.170639833151996072e+03,1.175349120999999968e+03,4.709287848003896215e+00
1.173786327983887077e+03,1.177705932999999959e+03,3.919605016112882367e+00
1.159707054907257316e+03,1.155173583999999892e+03,4.533470907257424187e+00
1.163093938436703866e+03,1.170201416000000108e+03,7.107477563296242806e+00
1.169873625713809588e+03,1.162922974000000067e+03,6.950651713809520515e+00
1.173450913132335927e+03,1.172175780999999915e+03,1.275132132336011637e+00
1.156256568230482799e+03,1.167232909999999947e+03,1.097634176951714835e+01
1.175774933731532883e+03,1.169125853999999890e+03,6.649079731532992810e+00
1.175507920559663262e+03,1.172583740000000034e+03,2.924180559663227541e+00
1.155966246544314572e+03,1.156577148000000079e+03,6.109014556855072442e-01
1.171548525504346117e+03,1.169041625999999951e+03,2.506899504346165486e+00
1.165987358291163446e+03,1.170471802000000025e+03,4.484443708836579390e+00
1.172212888590280954e+03,1.171816405999999915e+03,3.964825902810389380e-01
1.163331586799181196e+03,1.165452514999999948e+03,2.120928200818752885e+00
1.189098760425539695e+03,1.183665649000000030e+03,5.433111425539664197e+00
1.191141335107089162e+03,1.186550658999999996e+03,4.590676107089166180e+00
1.156449979259060456e+03,1.151034668000000011e+03,5.415311259060445082e+00
1.168818518760416964e+03,1.175149047999999993e+03,6.330529239583029266e+00
1.172372479816735677e+03,1.173166259999999966e+03,7.937801832642890076e-01
1.187140611705452329e+03,1.192151123000000098e+03,5.010511294547768557e+00
1.172229208918146469e+03,1.176276611000000003e+03,4.047402081853533673e+00
1.182496340106933303e+03,1.186679077000000007e+03,4.182736893066703487e+00
1.176041841316831778e+03,1.177874878000000081e+03,1.833036683168302261e+00
